Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
4.322763458,-10.58942917,-3.576811981,-0.482746124,11.18761091
4.332815458,-11.67841461,-3.373085632,-5.830675049,13.48183393
4.342867458,-12.14918564,-3.924389191,-7.444319458,14.77908774
4.352918458,-12.1337677,-4.869673462,-4.972509613,13.9881339
4.362971042,-11.15031281,-5.491630096,-1.594633942,12.53117449
4.373023042,-11.3640683,-6.614744568,0.823437653,13.17478438
4.383075042,-11.63006516,-6.795269165,1.942510529,13.60909423
4.393126042,-11.82750458,-6.799610138,2.081271973,13.80058896
4.403178042,-12.7177034,-6.105952606,3.365301819,14.50337524
4.413230042,-13.64427658,-5.263953552,5.016518097,15.46094901
4.423282042,-13.24879898,-4.992867279,4.235592041,14.77835032
4.433333042,-13.28577209,-4.825066223,2.50279541,14.35468527
