"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.274326333E0,1.852808861E1,-1.376639685E1,-1.321512837E0,2.312034052E1
2.284297333E0,1.876551480E1,-1.235041523E1,3.454154938E-2,2.246505053E1
2.294267333E0,1.756211455E1,-9.951902568E0,7.027806500E-1,2.019807250E1
2.304237333E0,1.594105938E1,-7.522702553E0,3.533542585E-1,1.763046474E1
2.314207333E0,1.390250950E1,-5.315004423E0,-4.440926667E-1,1.489047551E1
2.324177333E0,1.149375019E1,-3.154431634E0,-1.128159449E0,1.197202890E1
2.334147333E0,8.897420375E0,-9.547611460E-1,-1.571554981E0,9.085452286E0
2.344117333E0,6.121931877E0,8.947897634E-1,-1.839054573E0,6.454519374E0
2.354088333E0,3.799299706E0,2.672347415E0,-1.798528690E0,4.981046518E0
2.364058333E0,2.125409095E0,4.728431044E0,-1.688561275E0,5.452216351E0
2.374028333E0,4.743179476E-1,6.508258000E0,-1.623036207E0,6.724332401E0
2.383998333E0,-1.126260273E0,8.014908888E0,-1.618933800E0,8.253979242E0
2.393968333E0,-2.497961517E0,9.182896062E0,-1.739411001E0,9.674241182E0
2.403938333E0,-3.951226156E0,9.896099081E0,-1.989726795E0,1.083992518E1
2.413908333E0,-5.378173063E0,1.015818766E1,-2.467532022E0,1.175594472E1
2.423878333E0,-6.201597267E0,1.006355398E1,-3.211384392E0,1.224940477E1
2.433849333E0,-6.499185460E0,1.006734064E1,-3.760388240E0,1.255911139E1
2.443819333E0,-6.406225841E0,1.028611772E1,-4.045789667E0,1.277545934E1
2.453789333E0,-5.570192116E0,1.090125416E1,-4.307345563E0,1.297758099E1
2.463759333E0,-4.355717824E0,1.191171618E1,-4.008078049E0,1.330135142E1
2.473729333E0,-3.338858371E0,1.242433690E1,-3.116667100E0,1.323728584E1
2.483699333E0,-2.827462059E0,1.213085579E1,-2.004110361E0,1.261620633E1
2.493669333E0,-2.926551315E0,1.139313130E1,-1.070392467E0,1.181159953E1
2.503639333E0,-3.418700931E0,1.055530950E1,-3.259425481E-1,1.109992402E1
2.513610333E0,-4.179992622E0,9.885611515E0,2.483674650E-1,1.073589026E1
2.523580333E0,-5.091247852E0,9.622081599E0,6.036770689E-1,1.090273750E1
2.533550333E0,-5.951062787E0,9.691334851E0,6.909853542E-1,1.139362016E1
2.543520333E0,-6.461663293E0,9.763973642E0,4.618388200E-1,1.171757521E1
2.553490333E0,-6.624108884E0,9.795783665E0,1.215577662E-1,1.182586032E1
2.563460333E0,-6.574362527E0,9.771357506E0,-3.176216679E-3,1.177716775E1
2.573430333E0,-6.072040510E0,9.784406152E0,2.214221796E-2,1.151541445E1
2.583401333E0,-5.298097199E0,9.719245951E0,-3.543880463E-2,1.106954523E1
2.593371333E0,-4.994699212E0,9.528007500E0,1.419505155E-1,1.075872191E1
