"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.164072542E0,4.664132137E0,4.337917730E0,-5.679388869E-1,6.394858357E0
2.174043542E0,4.777592095E0,4.349649584E0,-6.765903863E-1,6.496353768E0
2.184014542E0,5.013998532E0,4.467880284E0,-6.698906466E-1,6.749139870E0
2.193985542E0,5.304964753E0,4.654711103E0,-6.250427949E-1,7.085172192E0
2.203956542E0,5.504538994E0,4.739614429E0,-6.707063332E-1,7.294774942E0
2.213927542E0,5.628306423E0,4.634900152E0,-7.413632101E-1,7.328693746E0
2.223898542E0,5.823266627E0,4.340627915E0,-9.110248500E-1,7.319935189E0
2.233869542E0,6.148464203E0,3.739336510E0,-1.097944547E0,7.279542006E0
2.243840542E0,6.423271644E0,3.098479920E0,-1.148040275E0,7.223364375E0
2.253811542E0,6.398620952E0,2.849940510E0,-1.046287905E0,7.082318080E0
2.263782542E0,6.077871938E0,3.101491236E0,-8.849047530E-1,6.880612734E0
2.273753542E0,5.743814076E0,3.520208595E0,-7.494659892E-1,6.778271753E0
2.283724542E0,5.636013638E0,3.664181077E0,-7.031513634E-1,6.759089772E0
2.293696542E0,5.646133999E0,3.560940299E0,-5.870964119E-1,6.701030305E0
2.303667542E0,5.757001886E0,3.317568659E0,-4.614660600E-1,6.660501741E0
2.313638542E0,6.027006424E0,2.625592786E0,-5.786407533E-1,6.599497635E0
2.323609542E0,6.315014539E0,1.789318156E0,-7.082741091E-1,6.601721011E0
2.333580542E0,6.510953566E0,1.138217245E0,-8.077805632E-1,6.658871096E0
2.343551542E0,6.620753751E0,6.016545171E-1,-1.022180712E0,6.726159514E0
2.353522542E0,6.709007531E0,2.306457603E-1,-1.235242433E0,6.825672377E0
2.363493542E0,6.750352609E0,2.499275386E-2,-1.411187198E0,6.896327594E0
2.373464542E0,6.873736460E0,-2.577680701E-1,-1.606767206E0,7.063738257E0
2.383435542E0,6.880583550E0,-6.353350639E-1,-1.569046818E0,7.085759560E0
2.393406542E0,6.687554097E0,-9.764394057E-1,-1.370122203E0,6.895944356E0
2.403377542E0,6.420183145E0,-1.325585423E0,-1.036593221E0,6.637051592E0
2.413348542E0,6.044857973E0,-1.834239390E0,-7.373596215E-1,6.359908904E0
2.423319542E0,5.648458267E0,-2.337604551E0,-5.232755148E-1,6.135413034E0
2.433290542E0,5.067760756E0,-2.801724955E0,-4.357310021E-1,5.807040839E0
2.443261542E0,4.588676743E0,-3.395445970E0,-3.043580997E-1,5.716436078E0
2.453232542E0,4.286923578E0,-4.133897559E0,-3.163799751E-1,5.963800724E0
2.463203542E0,3.879611798E0,-4.843811227E0,-2.019555196E-1,6.209241575E0
2.473174542E0,3.402133430E0,-5.457692857E0,-7.379127681E-2,6.431669173E0
